Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU
campus,0000000000.bin,Huffman,0.0,0.6576266105759461,,,0.0,0.0,0.0,0.0,7767,0.0,1.0
campus,0000000000.bin,EB-HC(Axis),1.0,0.3511814277391646,,,0.0046560373157262,0.0090000629425048,0.005822669248839,0.0103940294906553,4148,7.535097721700853e-05,0.8809808272173864
campus,0000000000.bin,EB-HC(L2),1.0,0.3578120554403934,,,0.0039056674577295,0.0070000290870666,0.0048775570025043,0.0086615534985765,4226,5.310475699669066e-05,0.902814145541392
campus,0000000000.bin,EB-Octree(Axis),1.0,0.5503197442046363,,,0.000152209206135,0.0070000886917114,0.0001783845155394,0.0099498241470104,6499,1.694653013013235e-06,0.9994708514755684
campus,0000000000.bin,EB-Octree(L2),1.0,0.5441626359929006,,,0.0003478763683233,0.0100000016391277,0.0003908248112324,0.0100001335145179,6427,4.397128980207717e-06,0.998715080420849
campus,0000000000.bin,EB-HC-3D(Axis),1.0,0.2751236299096316,,,0.0037843494210392,0.0058770179748535,0.004863644700009,0.0085627787029525,3250,5.111880868223586e-05,0.8933440256615878
campus,0000000000.bin,EB-HC-3D(L2),1.0,0.2751263396062811,,,0.0037843964528292,0.0058770179748535,0.0048637041454752,0.0085627787029525,3250,5.111983489562479e-05,0.8933440256615878
campus,0000000001.bin,Huffman,0.0,0.6577148305245424,,,0.0,0.0,0.0,0.0,7771,0.0,1.0
campus,0000000001.bin,EB-HC(Axis),1.0,0.3512261713227049,,,0.0046535138972103,0.0090003013610839,0.0058135526235506,0.0103929281365734,4150,7.509227551916717e-05,0.8782166112201086
campus,0000000001.bin,EB-HC(L2),1.0,0.3578140997513529,,,0.0038988171145319,0.0079998970031738,0.0048650545476404,0.0086614932843261,4228,5.2846930636345854e-05,0.8957983675460114
campus,0000000001.bin,EB-Octree(Axis),1.0,0.550303631113928,,,0.0001610601320862,0.0070000290870666,0.0001896982367454,0.0098994517782387,6502,1.81567080348062e-06,0.9995006128841876
campus,0000000001.bin,EB-Octree(L2),1.0,0.5443000774652084,,,0.0003500887250993,0.010000005364418,0.00039505394602,0.0100006103533813,6431,4.448001856735403e-06,0.9990466678772472
campus,0000000001.bin,EB-HC-3D(Axis),1.0,0.2745139464460804,,,0.0037856744602322,0.0058150291442871,0.0048714405178473,0.0085345151290381,3244,5.121820665335797e-05,0.8867348539963766
campus,0000000001.bin,EB-HC-3D(L2),1.0,0.2745139464460804,,,0.0037856744602322,0.0058150291442871,0.0048714405178473,0.0085345151290381,3244,5.121820665335797e-05,0.8867348539963766
campus,0000000002.bin,Huffman,0.0,0.6576405189872047,,,0.0,0.0,0.0,0.0,7773,0.0,1.0
campus,0000000002.bin,EB-HC(Axis),1.0,0.3512416272735641,,,0.004661058075726,0.0090000629425048,0.0058283471731652,0.0103929281365734,4152,7.546479258371334e-05,0.8813175545776905
campus,0000000002.bin,EB-HC(L2),1.0,0.3578396335223119,,,0.0039015745278447,0.0080000162124633,0.0048699036806295,0.0086615534985765,4230,5.295711252301847e-05,0.9003797796127399
campus,0000000002.bin,EB-Octree(Axis),1.0,0.5507934122819842,,,0.0001588477607583,0.008000373840332,0.0001867076513518,0.0098994517782387,6511,1.7930798490387334e-06,0.9996822130080808
campus,0000000002.bin,EB-Octree(L2),1.0,0.5444397515662481,,,0.0003546029620338,0.010000005364418,0.0003995300867508,0.0100001335145179,6435,4.519976903538297e-06,0.9991072374294492
campus,0000000002.bin,EB-HC-3D(Axis),1.0,0.274352653551877,,,0.0037801845464855,0.0051954984664916,0.004865892821482,0.0085360027886338,3243,5.110357453765269e-05,0.8874250642306595
campus,0000000002.bin,EB-HC-3D(L2),1.0,0.274352653551877,,,0.0037801845464855,0.0051954984664916,0.004865892821482,0.0085360027886338,3243,5.110357453765269e-05,0.8874250642306595
campus,0000000003.bin,Huffman,0.0,0.6576912417976871,,,0.0,0.0,0.0,0.0,7775,0.0,1.0
campus,0000000003.bin,EB-HC(Axis),1.0,0.3512626959892584,,,0.0046512712724506,0.0090000033378601,0.005818847460629,0.0103929281365734,4153,7.526499783577556e-05,0.8800039818541219
campus,0000000003.bin,EB-HC(L2),1.0,0.3578211625086625,,,0.0039026103913784,0.0080000162124633,0.0048704127659457,0.0086615534985765,4230,5.2930967063737706e-05,0.8973700077521606
