Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU
sample_0,0000000000.bin,Huffman,0,0.6576266105759461,nan,nan,0.0,0.0,0.0,0.0,7767,0.0,1.0
sample_0,0000000000.bin,EB-HC(Axis),0.5,0.37492514463005866,nan,nan,0.0023933991324156523,0.004999637603759766,0.0029748268048941577,0.005198666776357825,4428,2.0072982390049402e-05,0.9168406099611527
sample_0,0000000000.bin,EB-HC(L2),0.5,0.3869128426072701,nan,nan,0.0016277558170258999,0.00200653076171875,0.002022882466755777,0.0034661911374285117,4570,9.463049211120643e-06,0.9586813577394704
sample_0,0000000000.bin,EB-Octree(Axis),0.5,0.5567606931404029,nan,nan,5.991162652208004e-06,0.0030002593994140625,7.318261488116445e-06,0.004359102638329258,6576,3.816166380117631e-08,0.9999848812421571
sample_0,0000000000.bin,EB-Octree(L2),0.5,0.5558407511279112,nan,nan,2.1379528334364295e-05,0.004999999888241291,2.4146463016553147e-05,0.0050001144466021805,6565,1.403982888630947e-07,0.9999848812421571
sample_0,0000000000.bin,EB-HC-3D(Axis),0.5,0.3043734503922286,nan,nan,0.0018691840814426541,0.002498626708984375,0.0023898341109092323,0.004268782179539025,3595,1.2383977711140096e-05,0.9429108698526495
sample_0,0000000000.bin,EB-HC-3D(L2),0.5,0.3043734503922286,nan,nan,0.0018691840814426541,0.002498626708984375,0.0023898341109092323,0.004268782179539025,3595,1.2383977711140096e-05,0.9429108698526495
sample_0,0000000000.bin,EB-HC(Axis),1.0,0.3511814277391646,nan,nan,0.00465603731572628,0.009000062942504883,0.005822669248839069,0.010394029490655312,4148,7.535097721700853e-05,0.8809808272173864
sample_0,0000000000.bin,EB-HC(L2),1.0,0.35781205544039346,nan,nan,0.003905667457729578,0.00700002908706665,0.004877557002504344,0.008661553498576582,4226,5.310475699669066e-05,0.902814145541392
sample_0,0000000000.bin,EB-Octree(Axis),1.0,0.5503197442046363,nan,nan,0.0001522092061350122,0.007000088691711426,0.00017838451553943782,0.009949824147010454,6499,1.694653013013235e-06,0.9994708514755685
sample_0,0000000000.bin,EB-Octree(L2),1.0,0.5441626359929006,nan,nan,0.000347876368323341,0.010000001639127731,0.0003908248112324132,0.010000133514517982,6427,4.397128980207717e-06,0.998715080420849
