Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU
sample_0,0000000000.bin,Huffman,0,0.6531643403935755,nan,nan,0.0,0.0,0.0,0.0,7766,0.0,1.0
sample_0,0000000000.bin,EB-HC(Axis),1.0,0.34226226525300324,nan,nan,0.0046539208851754665,0.008999824523925781,0.005823538766170519,0.010392928136573411,4069,7.538804051748321e-05,0.8732278926810527
sample_0,0000000000.bin,EB-HC(L2),1.0,0.3487027511527063,nan,nan,0.0039044388104230165,0.007999897003173828,0.004876106359866218,0.008661484682358719,4146,5.3074335132989286e-05,0.8938150468596282
sample_0,0000000000.bin,EB-Octree(Axis),1.0,0.5602785336875566,nan,nan,0.00012088279618183151,0.00800013542175293,0.00014092888583260246,0.010050013122899515,6661,1.33189204122387e-06,0.9996719653376707
sample_0,0000000000.bin,EB-Octree(L2),1.0,0.5553447083175198,nan,nan,0.00027817569207400084,0.01000000536441803,0.0003107974183291624,0.010000133514517982,6603,3.502451141082869e-06,0.999179980592874
sample_0,0000000000.bin,EB-HC-3D(Axis),1.0,0.2808949523171214,nan,nan,0.0037917247973382473,0.005795955657958984,0.004872652401525563,0.008578078329105383,3340,5.129995629878748e-05,0.8765531833044816
sample_0,0000000000.bin,EB-HC-3D(L2),1.0,0.2808949523171214,nan,nan,0.0037917247973382473,0.005795955657958984,0.004872652401525563,0.008578078329105383,3340,5.129995629878748e-05,0.8765531833044816
sample_1,0000000001.bin,Huffman,0,0.6532573404475895,nan,nan,0.0,0.0,0.0,0.0,7764,0.0,1.0
sample_1,0000000001.bin,EB-HC(Axis),1.0,0.3423399225025379,nan,nan,0.004650202114135027,0.008999943733215332,0.005817814978272977,0.010392928136573411,4069,7.52756745590992e-05,0.8772228770563214
sample_1,0000000001.bin,EB-HC(L2),1.0,0.3488637924209744,nan,nan,0.003894928377121687,0.008000016212463379,0.004863073037645593,0.008661484682358719,4146,5.284501466584825e-05,0.8973658309158724
sample_1,0000000001.bin,EB-Octree(Axis),1.0,0.560118427323914,nan,nan,0.00012262006930541247,0.00700002908706665,0.00014330926447676828,0.009949836127893859,6657,1.3567376247744113e-06,0.9996451771384901
sample_1,0000000001.bin,EB-Octree(L2),1.0,0.5553320569679051,nan,nan,0.00027437828248366714,0.009999999776482582,0.00030787212376101635,0.010000133514517982,6600,3.4459762119525554e-06,0.9991675650595668
sample_1,0000000001.bin,EB-HC-3D(Axis),1.0,0.27955903459381154,nan,nan,0.0037877915892750025,0.005621433258056641,0.0048718216653660705,0.00853866814364431,3323,5.125069439494179e-05,0.891294815579056
sample_1,0000000001.bin,EB-HC-3D(L2),1.0,0.27956105415936255,nan,nan,0.0037877627182751894,0.005621433258056641,0.00487177901719471,0.00853866814364431,3323,5.124995067492646e-05,0.891294815579056
sample_2,0000000002.bin,Huffman,0,0.6531467567764029,nan,nan,0.0,0.0,0.0,0.0,7764,0.0,1.0
sample_2,0000000002.bin,EB-HC(Axis),1.0,0.3423974789734974,nan,nan,0.004660876002162695,0.009000062942504883,0.005833394806092684,0.010392928136573411,4070,7.558219284000813e-05,0.8738390487854665
sample_2,0000000002.bin,EB-HC(L2),1.0,0.34888513768186175,nan,nan,0.003902324941009283,0.008000016212463379,0.0048717183824446356,0.008661519090330907,4147,5.299107913122446e-05,0.891308547217679
sample_2,0000000002.bin,EB-Octree(Axis),1.0,0.5594967908334141,nan,nan,0.00012334033090155572,0.008000016212463379,0.0001437045657573788,0.010099457535606158,6651,1.3608921720995113e-06,0.9996325630766718
sample_2,0000000002.bin,EB-Octree(L2),1.0,0.5551649543932198,nan,nan,0.0002681727637536824,0.010000001639127731,0.00030078840023763234,0.010000133514517982,6599,3.379028565530553e-06,0.9991019064077618
sample_2,0000000002.bin,EB-HC-3D(Axis),1.0,0.2806358295911005,nan,nan,0.003777007106691599,0.005166053771972656,0.004859692456790852,0.00853516089638331,3336,5.101073636222459e-05,0.8865716082498043
sample_2,0000000002.bin,EB-HC-3D(L2),1.0,0.2806378487814859,nan,nan,0.0037770261988043785,0.005166053771972656,0.004859693135102035,0.00853516089638331,3336,5.10107395459842e-05,0.8865716082498043
sample_3,0000000003.bin,Huffman,0,0.653237775662639,nan,nan,0.0,0.0,0.0,0.0,7775,0.0,1.0
sample_3,0000000003.bin,EB-HC(Axis),1.0,0.3428554912051452,nan,nan,0.00466011930257082,0.009000062942504883,0.005828557432113246,0.010392928136573411,4081,7.553934006649825e-05,0.8725873176479629
sample_3,0000000003.bin,EB-HC(L2),1.0,0.3493561822102484,nan,nan,0.003903960110619664,0.007999897003173828,0.004873955284114435,0.008661484682358719,4158,5.305324067528479e-05,0.8935129469311697
sample_3,0000000003.bin,EB-Octree(Axis),1.0,0.560097278461613,nan,nan,0.00012919657456222922,0.007000088691711426,0.00015066107858683706,0.009949836127893859,6666,1.4440075083308724e-06,0.9997402703921917
sample_3,0000000003.bin,EB-Octree(L2),1.0,0.5552743586020725,nan,nan,0.0002829788136295974,0.009999997913837433,0.00031721319389342725,0.010000133514517982,6609,3.5761241052437507e-06,0.9994395538301711
sample_3,0000000003.bin,EB-HC-3D(Axis),1.0,0.28071006824011485,nan,nan,0.0037898665759712458,0.005521059036254883,0.0048719095694655405,0.008554505484339439,3341,5.127948289029074e-05,0.8916237063452072
sample_3,0000000003.bin,EB-HC-3D(L2),1.0,0.28071275697592507,nan,nan,0.003789869835600257,0.005521059036254883,0.004871910503024229,0.008554505484339439,3341,5.12794878787943e-05,0.8916237063452072
sample_4,0000000004.bin,Huffman,0,0.6536796897290547,nan,nan,0.0,0.0,0.0,0.0,7772,0.0,1.0
sample_4,0000000004.bin,EB-HC(Axis),1.0,0.34335381708360924,nan,nan,0.004656652454286814,0.009000003337860107,0.005822368691359069,0.010392928136573411,4082,7.531023525381137e-05,0.8771593337280849
sample_4,0000000004.bin,EB-HC(L2),1.0,0.3498831807145895,nan,nan,0.003899453906342387,0.008000016212463379,0.004870724756055114,0.008661488983340286,4160,5.3004027677406295e-05,0.8959021295405497
sample_4,0000000004.bin,EB-Octree(Axis),1.0,0.5610178889624617,nan,nan,0.00012347598385531455,0.007000088691711426,0.00014460962228463338,0.009949836127893859,6670,1.3837865847641932e-06,0.9997532421243112
sample_4,0000000004.bin,EB-Octree(L2),1.0,0.556094790505876,nan,nan,0.00028239330276846886,0.010000228881835938,0.00031707252808460496,0.010000228881835938,6612,3.5883010245010347e-06,0.9992049239879917
sample_4,0000000004.bin,EB-HC-3D(Axis),1.0,0.28066035196520184,nan,nan,0.003773387288674712,0.005439043045043945,0.004852259129443868,0.008550034896928281,3337,5.086969748958295e-05,0.887488352831556
sample_4,0000000004.bin,EB-HC-3D(L2),1.0,0.28066371657595673,nan,nan,0.0037733654025942087,0.005439043045043945,0.004852245909634608,0.008550034896928281,3337,5.086958716181407e-05,0.887488352831556
