Scene,Method,Original_GB,Compressed_GB,Storage_Savings_%,Upload_Time_Hours
campus,Uncompressed,0.34,0.34,0.0,0.07736888888888889
campus,Huffman,0.34,0.22360462214327192,34.23393466374356,0.05088247401660232
campus,EB-HC(Axis),0.34,0.11941357898468248,64.8783591221522,0.027173223306736636
campus,EB-HC(L2),0.34,0.12165945605425993,64.21780704286473,0.027684285111013816
campus,EB-Octree(Axis),0.34,0.18716056926139552,44.952773746648376,0.042589427316370894
campus,EB-Octree(L2),0.34,0.18506227936942715,45.56991783252143,0.04211194979428742
campus,EB-HC-3D(Axis),0.34,0.09338555938952675,72.53365900308037,0.021250402847750087
campus,EB-HC-3D(L2),0.34,0.09338586648848037,72.53356867985872,0.021250472729823087
city,Uncompressed,0.2,0.2,0.0,0.04551111111111111
city,Huffman,0.2,0.13074238196936164,34.628809015319185,0.029751155363694735
city,EB-HC(Axis),0.2,0.06878075807302197,65.60962096348901,0.015651443614838778
city,EB-HC(L2),0.2,0.07009031486696675,64.95484256651662,0.015949440538616435
city,EB-Octree(Axis),0.2,0.11004983060665235,44.975084696673825,0.025042450342491557
city,EB-Octree(L2),0.2,0.10877712505348354,45.611437473258235,0.02475283912328159
city,EB-HC-3D(Axis),0.2,0.05255581727665365,73.72209136167318,0.011959368198065186
city,EB-HC-3D(L2),0.2,0.05255609219403429,73.72195390298286,0.011959430757042469
person,Uncompressed,0.13,0.13,0.0,0.02958222222222222
person,Huffman,0.13,0.08396835057864549,35.408961093349625,0.019107464665007328
person,EB-HC(Axis),0.13,0.043554083373732295,66.49685894328286,0.009910973638822637
person,EB-HC(L2),0.13,0.044435705020106415,65.81868844607199,0.010111591542353105
person,EB-Octree(Axis),0.13,0.07077798550537572,45.55539576509561,0.016105923812778828
person,EB-Octree(L2),0.13,0.06961482159271204,46.450137236375355,0.015841239402430474
person,EB-HC-3D(Axis),0.13,0.031019500511893026,76.13884576008229,0.0070586596720396575
person,EB-HC-3D(L2),0.13,0.031019644026820604,76.13873536398415,0.007058692329658733
residential,Uncompressed,0.89,0.89,0.0,0.20252444444444445
residential,Huffman,0.89,0.5758484018218966,35.29793237956219,0.13103750299236047
residential,EB-HC(Axis),0.89,0.2984804901743132,66.46286627254906,0.06792089376411038
residential,EB-HC(L2),0.89,0.30446963805942306,65.78992830793,0.06928375763841094
residential,EB-Octree(Axis),0.89,0.4888389783108324,45.07427209990647,0.11123802528673164
residential,EB-Octree(L2),0.89,0.4799444435283603,46.073658030521315,0.10921402448289799
residential,EB-HC-3D(Axis),0.89,0.21903051102336224,75.38983022209413,0.04984160961953843
residential,EB-HC-3D(L2),0.89,0.21903109886702474,75.38976417224441,0.04984174338662963
road,Uncompressed,0.53,0.53,0.0,0.12060444444444444
road,Huffman,0.53,0.3461904239791037,34.6810520794144,0.07877755425657827
road,EB-HC(Axis),0.53,0.1814366077887968,65.76667777569871,0.0412869080834951
road,EB-HC(L2),0.53,0.18487313035514585,65.11827729148192,0.042068907885259854
road,EB-Octree(Axis),0.53,0.29678122949259633,44.003541605170504,0.06753421755564859
road,EB-Octree(L2),0.53,0.2942987038098939,44.47194267737851,0.0669693050447403
road,EB-HC-3D(Axis),0.53,0.14859253424869254,71.96367278326557,0.03381305668236915
road,EB-HC-3D(L2),0.53,0.14859324776224134,71.96353815806768,0.03381321904634114
