cid,path,tx
QmABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQR,outputs/chunks/compression_results_full.csv,0x07e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b29
QmHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXY,outputs/chunks/scene_compression_summary.csv,0xd4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6
QmOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEF,outputs/chunks/scene_compression_packets.csv,0xa18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3
QmVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLM,outputs/chunks/tsn_flows.csv,0x7e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b290
QmCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRST,outputs/chunks/tsn_results.csv,0x4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d
QmJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZA,outputs/chunks/fig_cr_be0.0.png,0x18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a
QmQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGH,outputs/chunks/fig_cr_be0.5.png,0xe5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907
QmXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNO,outputs/chunks/fig_cr_be1.0.png,0xb2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4
QmEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUV,outputs/chunks/fig_cr_be2.0.png,0x8f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a1
QmLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABC,outputs/chunks/fig_tsn_delay.png,0x5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e
QmSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJ,outputs/chunks/fig_tsn_jitter.png,0x2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b
QmZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQ,outputs/chunks/report_zh.md,0xf6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18
QmGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWX,outputs/chunks/report_en.md,0xc3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5
QmNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDE,outputs/chunks/summary.json,0x907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2
QmUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKL,outputs/chunks/table_1_methods.csv,0x6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f
QmBCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRS,outputs/chunks/compressed_campus_EB-HC-3D_Axis_BE2.0.bin,0x3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c
QmIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ,outputs/chunks/compressed_campus_EB-HC-3D_Axis_BE1.0.bin,0x07e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b29
QmPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFG,outputs/chunks/compressed_campus_EB-HC-3D_L2_BE2.0.bin,0xd4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6
QmWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMN,outputs/chunks/compressed_campus_EB-HC-3D_L2_BE1.0.bin,0xa18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3
QmDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTU,outputs/chunks/compressed_campus_EB-HC_Axis_BE2.0.bin,0x7e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b290
QmKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZAB,outputs/chunks/compressed_campus_EB-HC_Axis_BE1.0.bin,0x4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d
QmRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHI,outputs/chunks/compressed_campus_EB-HC_L2_BE2.0.bin,0x18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a
QmYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOP,outputs/chunks/compressed_campus_EB-HC_L2_BE1.0.bin,0xe5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907
QmFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVW,outputs/chunks/compressed_city_EB-HC-3D_Axis_BE2.0.bin,0xb2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4
QmMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCD,outputs/chunks/compressed_city_EB-HC-3D_Axis_BE1.0.bin,0x8f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a1
QmTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJK,outputs/chunks/compressed_city_EB-HC-3D_L2_BE2.0.bin,0x5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e
QmABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQR,outputs/chunks/compressed_city_EB-HC-3D_L2_BE1.0.bin,0x2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b
QmHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXY,outputs/chunks/compressed_city_EB-HC_Axis_BE2.0.bin,0xf6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18f6d4b2907e5c3a18
