Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU
sample_0,0000000000.bin,Huffman,0,0.6576266105759461,nan,nan,0.0,0.0,0.0,0.0,7767,0.0,1.0
sample_0,0000000000.bin,EB-HC(Axis),1.0,0.3511814277391646,nan,nan,0.00465603731572628,0.009000062942504883,0.005822669248839069,0.010394029490655312,4148,7.535097721700853e-05,0.8809808272173864
sample_0,0000000000.bin,EB-HC(L2),1.0,0.35781205544039346,nan,nan,0.003905667457729578,0.00700002908706665,0.004877557002504344,0.008661553498576582,4226,5.310475699669066e-05,0.902814145541392
sample_0,0000000000.bin,EB-Octree(Axis),1.0,0.5503197442046363,nan,nan,0.0001522092061350122,0.007000088691711426,0.00017838451553943782,0.009949824147010454,6499,1.694653013013235e-06,0.9994708514755685
sample_0,0000000000.bin,EB-Octree(L2),1.0,0.5441626359929006,nan,nan,0.000347876368323341,0.010000001639127731,0.0003908248112324132,0.010000133514517982,6427,4.397128980207717e-06,0.998715080420849
sample_0,0000000000.bin,EB-HC-3D(Axis),1.0,0.27512362990963163,nan,nan,0.0037843494210392237,0.005877017974853516,0.004863644700009013,0.008562778702952524,3250,5.111880868223586e-05,0.8933440256615878
sample_0,0000000000.bin,EB-HC-3D(L2),1.0,0.2751263396062811,nan,nan,0.0037843964528292418,0.005877017974853516,0.004863704145475262,0.008562778702952524,3250,5.111983489562479e-05,0.8933440256615878
sample_0,0000000000.bin,EB-HC(Axis),2.0,0.3244719478654365,nan,nan,0.009064878337085247,0.018000125885009766,0.01134362165560138,0.020785856273146823,3832,0.00028300425350809055,0.7671051399055253
sample_0,0000000000.bin,EB-HC(L2),2.0,0.3279552629083174,nan,nan,0.008347773924469948,0.01699995994567871,0.010461744786988192,0.019053862195287985,3873,0.00024065584392330534,0.7971223412935865
sample_0,0000000000.bin,EB-Octree(Axis),2.0,0.5267020282079421,nan,nan,0.0010523434029892087,0.017999887466430664,0.0012008050640559369,0.019849700182798868,6221,1.9136251318842508e-05,0.9952702600601417
sample_0,0000000000.bin,EB-Octree(L2),2.0,0.5105725589020309,nan,nan,0.0019136695191264153,0.02000001072883606,0.002138781386877245,0.020000267029035963,6030,4.133666019512021e-05,0.9904264315051945
sample_0,0000000000.bin,EB-HC-3D(Axis),2.0,0.2461711986343129,nan,nan,0.007579001598060131,0.012048721313476562,0.00978134534034505,0.016923614773781535,2908,0.0002043613682390217,0.7982054245122697
sample_0,0000000000.bin,EB-HC-3D(L2),2.0,0.24618135999674837,nan,nan,0.007578863296657801,0.012048721313476562,0.009781183704443334,0.016923614773781535,2908,0.00020435657808453298,0.7982543200141394
sample_1,0000000001.bin,Huffman,0,0.6577148305245424,nan,nan,0.0,0.0,0.0,0.0,7771,0.0,1.0
