Method,BE_cm,Real_Compression_Ratio,Raw_Bitrate_Mbps,Compressed_Bitrate_Mbps,Network_Utilization_%,Bandwidth_Saved_Mbps,Bandwidth_Savings_%,TSN_Feasible,Mean_Error_L2,Occupancy_IoU
Huffman,0.0,0.6576266105759461,147.723388671875,97.14683139507827,9.714683139507827,50.576557276796734,34.237338942405394,True,0.0,1.0
EB-HC(Axis),0.5,0.3749251446300586,147.723388671875,55.38521286304509,5.538521286304509,92.3381758088299,62.507485536994146,True,0.0029748268048941,0.9168406099611528
EB-HC(L2),0.5,0.3869128426072701,147.723388671875,57.15607623061376,5.715607623061376,90.56731244126124,61.30871573927299,True,0.0020228824667557,0.9586813577394704
EB-Octree(Axis),0.5,0.5567606931404029,147.723388671875,82.24657627000227,8.224657627000227,65.47681240187273,44.32393068595971,True,7.318261488116445e-06,0.9999848812421572
EB-Octree(L2),0.5,0.5558407511279112,147.723388671875,82.11067931853536,8.211067931853536,65.61270935333964,44.41592488720888,True,2.4146463016553147e-05,0.9999848812421572
EB-HC-3D(Axis),0.5,0.3043734503922286,147.723388671875,44.96307751369085,4.496307751369085,102.76031115818415,69.56265496077714,True,0.0023898341109092,0.9429108698526496
EB-HC-3D(L2),0.5,0.3043734503922286,147.723388671875,44.96307751369085,4.496307751369085,102.76031115818415,69.56265496077714,True,0.0023898341109092,0.9429108698526496
EB-HC(Axis),1.0,0.3511814277391646,147.723388671875,51.8777105442566,5.18777105442566,95.8456781276184,64.88185722608354,True,0.005822669248839,0.8809808272173864
EB-HC(L2),1.0,0.3578120554403934,147.723388671875,52.857209337303715,5.285720933730372,94.86617933457129,64.21879445596066,True,0.0048775570025043,0.902814145541392
EB-Octree(Axis),1.0,0.5503197442046363,147.723388671875,81.2950974669483,8.129509746694831,66.4282912049267,44.96802557953637,True,0.0001783845155394,0.9994708514755684
EB-Octree(L2),1.0,0.5441626359929006,147.723388671875,80.3855485774913,8.03855485774913,67.3378400943837,45.58373640070994,True,0.0003908248112324,0.998715080420849
EB-HC-3D(Axis),1.0,0.2751236299096316,147.723388671875,40.6421949139576,4.06421949139576,107.08119375791739,72.48763700903685,True,0.004863644700009,0.8933440256615878
EB-HC-3D(L2),1.0,0.2751263396062811,147.723388671875,40.64259519952894,4.064259519952894,107.08079347234606,72.48736603937189,True,0.0048637041454752,0.8933440256615878
