StreamId,Filename,Method,BE_cm,Bitrate_bps,PacketsPerFrame,PacketSize_bits,FrameRate_Hz,Priority
1,0000000000.bin,Huffman,0.0,104242971,7767,1000,10.0,7
2,0000000000.bin,EB-HC(Axis),0.5,59430854,4428,1000,10.0,7
3,0000000000.bin,EB-HC(L2),0.5,61331071,4570,1000,10.0,7
4,0000000000.bin,EB-Octree(Axis),0.5,88254319,6576,1000,10.0,7
5,0000000000.bin,EB-Octree(L2),0.5,88108496,6565,1000,10.0,7
6,0000000000.bin,EB-HC-3D(Axis),0.5,48247428,3595,1000,10.0,7
7,0000000000.bin,EB-HC-3D(L2),0.5,48247428,3595,1000,10.0,7
8,0000000000.bin,EB-HC(Axis),1.0,55667144,4148,1000,10.0,7
9,0000000000.bin,EB-HC(L2),1.0,56718191,4226,1000,10.0,7
10,0000000000.bin,EB-Octree(Axis),1.0,87233339,6499,1000,10.0,7
11,0000000000.bin,EB-Octree(L2),1.0,86257352,6427,1000,10.0,7
12,0000000000.bin,EB-HC-3D(Axis),1.0,43610925,3250,1000,10.0,7
13,0000000000.bin,EB-HC-3D(L2),1.0,43611354,3250,1000,10.0,7
14,0000000000.bin,EB-HC(Axis),2.0,51433320,3832,1000,10.0,7
15,0000000000.bin,EB-HC(L2),2.0,51985474,3873,1000,10.0,7
16,0000000000.bin,EB-Octree(Axis),2.0,83489603,6221,1000,10.0,7
17,0000000000.bin,EB-Octree(L2),2.0,80932857,6030,1000,10.0,7
18,0000000000.bin,EB-HC-3D(Axis),2.0,39021561,2908,1000,10.0,7
19,0000000000.bin,EB-HC-3D(L2),2.0,39023172,2908,1000,10.0,7
20,0000000001.bin,Huffman,0.0,104214862,7771,1000,10.0,7
21,0000000001.bin,EB-HC(Axis),0.5,59412604,4430,1000,10.0,7
22,0000000001.bin,EB-HC(L2),0.5,61306331,4572,1000,10.0,7
23,0000000001.bin,EB-Octree(Axis),0.5,88284593,6583,1000,10.0,7
24,0000000001.bin,EB-Octree(L2),0.5,88142859,6573,1000,10.0,7
25,0000000001.bin,EB-HC-3D(Axis),0.5,48101205,3587,1000,10.0,7
26,0000000001.bin,EB-HC-3D(L2),0.5,48101205,3587,1000,10.0,7
27,0000000001.bin,EB-HC(Axis),1.0,55651758,4150,1000,10.0,7
28,0000000001.bin,EB-HC(L2),1.0,56695615,4228,1000,10.0,7
29,0000000001.bin,EB-Octree(Axis),1.0,87195566,6502,1000,10.0,7
30,0000000001.bin,EB-Octree(L2),1.0,86244303,6431,1000,10.0,7
31,0000000001.bin,EB-HC-3D(Axis),1.0,43496712,3244,1000,10.0,7
32,0000000001.bin,EB-HC-3D(L2),1.0,43496712,3244,1000,10.0,7
33,0000000001.bin,EB-HC(Axis),2.0,51418608,3834,1000,10.0,7
34,0000000001.bin,EB-HC(L2),2.0,51971383,3876,1000,10.0,7
35,0000000001.bin,EB-Octree(Axis),2.0,83480856,6225,1000,10.0,7
36,0000000001.bin,EB-Octree(L2),2.0,81007853,6041,1000,10.0,7
37,0000000001.bin,EB-HC-3D(Axis),2.0,38870868,2899,1000,10.0,7
38,0000000001.bin,EB-HC-3D(L2),2.0,38873121,2899,1000,10.0,7
39,0000000002.bin,Huffman,0.0,104222448,7773,1000,10.0,7
40,0000000002.bin,EB-HC(Axis),0.5,59429974,4433,1000,10.0,7
41,0000000002.bin,EB-HC(L2),0.5,61320142,4574,1000,10.0,7
42,0000000002.bin,EB-Octree(Axis),0.5,88364641,6591,1000,10.0,7
43,0000000002.bin,EB-Octree(L2),0.5,88226801,6580,1000,10.0,7
44,0000000002.bin,EB-HC-3D(Axis),0.5,48084030,3587,1000,10.0,7
45,0000000002.bin,EB-HC-3D(L2),0.5,48084030,3587,1000,10.0,7
46,0000000002.bin,EB-HC(Axis),1.0,55664548,4152,1000,10.0,7
47,0000000002.bin,EB-HC(L2),1.0,56710196,4230,1000,10.0,7
48,0000000002.bin,EB-Octree(Axis),1.0,87289387,6511,1000,10.0,7
49,0000000002.bin,EB-Octree(L2),1.0,86282463,6435,1000,10.0,7
50,0000000002.bin,EB-HC-3D(Axis),1.0,43479232,3243,1000,10.0,7
51,0000000002.bin,EB-HC-3D(L2),1.0,43479232,3243,1000,10.0,7
52,0000000002.bin,EB-HC(Axis),2.0,51424461,3836,1000,10.0,7
53,0000000002.bin,EB-HC(L2),2.0,51975711,3877,1000,10.0,7
54,0000000002.bin,EB-Octree(Axis),2.0,83510016,6229,1000,10.0,7
55,0000000002.bin,EB-Octree(L2),2.0,81023331,6043,1000,10.0,7
56,0000000002.bin,EB-HC-3D(Axis),2.0,38849656,2898,1000,10.0,7
57,0000000002.bin,EB-HC-3D(L2),2.0,38851479,2898,1000,10.0,7
